Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,25.75,61.75,90,top
C2,1uF,C_0603_1608Metric,17.5,45.5,180,top
C3,4.7uF,C_0603_1608Metric,24.75,52,-90,top
C4,1uF,C_0603_1608Metric,24.75,56.5,-90,top
C5,1uF,C_0603_1608Metric,17.5,57.75,180,top
C6,4.7uF,C_0603_1608Metric,17.5,54.255883,180,top
C7,1uF,C_0603_1608Metric,17.5,50.75,180,top
C8,1uF,C_0603_1608Metric,17.5,47.25,180,top
C9,1uF,C_0603_1608Metric,17.5,56,180,top
C10,1uF,C_0603_1608Metric,17.5,49,180,top
C11,1uF,C_0603_1608Metric,17.5,43.75,180,top
C12,1uF,C_0603_1608Metric,17.5,52.5,180,top
C13,1uF,C_0603_1608Metric,65,49,0,top
C14,1uF,C_0603_1608Metric,60.5,38.5,-90,top
C15,1uF,C_0603_1608Metric,62.75,38.5,-90,top
C16,1uF,C_0603_1608Metric,51.85,37.5,0,top
C17,1uF,C_0603_1608Metric,20.25,38.5,0,top
C18,4.7uF,C_0603_1608Metric,20.25,36.75,0,top
D1,MBR0530,D_SOD-123,22.5,52,-90,top
D2,MBR0530,D_SOD-123,22.5,46.75,-90,top
D3,MBR0530,D_SOD-123,22.5,57.35,90,top
D4,MBR0530,D_SOD-123,56,14,-90,top
IC1,SHT40-BD1B-R2,SHT40BD1BR2,51.9,40.7,-90,top
IC2,MAX31328NELB+,MAX31328NELB,63,54,0,top
J1,FFC2B35-24-T,FFC2B3524T,10,52,-90,top
J3,M20-7920642R,M207920642R,45.15,63.888,0,top
J4,SM04B-SRSS-TB_LF__SN__P_,SM04BSRSSTBLFSNP,59,69.287,180,top
L1,68 uH,INDM3225X240N,22.15,61.75,180,top
LS1,CSS-I4B20-SMT-TR,CSSI4B20SMTTR,63.5,11.5,0,top
Q1,Si1308EDL-T1-GE3,SOT65P210X110-3N,17.45,61.75,0,top
Q2,DMG2305UX-7,SOT96P240X115-3N,17.4,69.75705,180,top
Q3,DMG2305UX-7,SOT96P240X115-3N,21.849377,69.784463,180,top
Q4,2SC5585TL,2SC5585TL,59.5,3.55,0,top
R1,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,17.5,64,0,top
R2,0.47Ω,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,17.5,59.5,0,top
R3,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,58.75,38.75,-90,top
R4,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,64.5,38.75,-90,top
R5,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61,49,0,top
R6,180Ω,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56,9.25,-90,top
R7,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,57,38.75,-90,top
R8,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,66.25,38.75,90,top
R9,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,52,48.75,0,top
R10,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.5,48.75,180,top
R11,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,32.75,41.25,90,top
R12,14kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,25.75,44.4925,180,top
R13,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,28,5,0,top
R14,47Ω,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,37,2.5,180,top
R15,130Ω,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,21.75,18.5,0,top
R16,130Ω,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,33.75,35.25,180,top
S1,RKB2SJK250SMTR_LFS,RKB2SJK250SMTRLFS,32.25,69.575,0,top
S2,RKB2SJK250SMTR_LFS,RKB2SJK250SMTRLFS,51,4,180,top
S3,PTS647SM70SMTR2LFS,PTS647SM38SMTR2LFS,29.6,12.5,90,top
S4,PTS647SM70SMTR2LFS,PTS647SM38SMTR2LFS,22.6,12.5,90,top
S5,PTS647SM70SMTR2LFS,PTS647SM38SMTR2LFS,15.4,12.5,90,top
S6,PTS647SM70SMTR2LFS,PTS647SM38SMTR2LFS,8.4,12.5,90,top
S7,PTS647SM70SMTR2LFS,PTS647SM38SMTR2LFS,36.6,12.5,90,top
S8,PTS647SM70SMTR2LFS,PTS647SM38SMTR2LFS,43.6,12.497637,90,top
S9,PTS647SM70SMTR2LFS,PTS647SM38SMTR2LFS,50.6,12.491837,90,top
U3,AS1115-BSST,QSOP-24_3.9x8.7mm_P0.635mm,25.75,38.7425,180,top