Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C3, C6",603,4,4.7uF,C8032
"C10, C11, C12, C13, C14, C15, C16, C17, C2, C4, C5, C7, C8, C9",603,14,1uF,C105524
"D1, D2, D3, D4",D_SOD-123,4,MBR0530,C77336
IC1,SHT40BD1BR2,1,SHT40-BD1B-R2,C7461849
IC2,MAX31328NELB,1,MAX31328NELB+,C3303818
IC3,PEC11S929KS0015,1,PEC11S-929K-S0015,C5362681
J1,FFC2B3524T,1,FFC2B35-24-T,C5641278
J3,M207920642R,1,M20-7920642R,C19188561
J4,SM04BSRSSTBLFSNP,1,SM04B-SRSS-TB_LF__SN__P_,C160404
L1,INDM3225X240N,1,68 uH,C1499398
LED1,WP424IDT,1,WP424IDT,C5878956
LS1,CSSI4B20SMTTR,1,CSS-I4B20-SMT-TR,C7116026
Q1,SOT65P210X110-3N,1,Si1308EDL-T1-GE3,C469327
"Q2, Q3",SOT96P240X115-3N,2,DMG2305UX-7,C150470
Q4,2SC5585TL,1,2SC5585TL,C337983
"R1, R10, R11, R3, R4, R5, R7, R8, R9",603,9,10kΩ,C15401
R12,603,1,14kΩ,C137795
R13,603,1,1kΩ,C103198
R14,603,1,47Ω,C1211
"R15, R16",603,2,130Ω,C22796
R2,603,1,0.47Ω,C23411
R6,603,1,180Ω,C100819
"S1, S2",RKB2SJK250SMTRLFS,2,RKB2SJK250SMTR_LFS,C2927789
"S3, S4, S5, S7, S8, S9",TL3301BF260QJ,6,TL3301BF260QJ,C2886846
U3,QSOP-24_3.9x8.7mm_P0.635mm,1,AS1115-BSST,C2649434
U4,TDCG1060M_VIS,1,TDCR1060M,C7067210